"lng","lat"
-86.5,33.62
-86.99,33.59
-87.2,33.4
-86.79,33.22
-85.9,32.9
-86.4,33.9
-86.3,33.3
-86.5,34.3
-86.64,34.31
-86.96,33.4
-87,33.3
-87.1,33.5
-86.6,34.1
-86.334,33.263
-87,33.9
-87.3,33
-87,33
-86.91,33.639
-86.7,33.1
-87.1,32.9
-86.65,33.32
-86.4,33.3
-86.7,32.8
-86.6,32.9
-86.6,33.96
-86.6,33.2
-86.4,33.5
-87.05,34.04
-86.33,33.51
-86.7,34.2
-87,34.1
-86.8,34.2
-86.93,33.559
-86.95,33.46
-87.04,33.72
-87,33.81
-86.92,33.48
-86.83,33.6
-86.749,34.012
-86.9,33.7
-86,33.1
-86.97,33.67
-87.1,33.3
-86.8,34
-86.45,33.33
-86.8,33.9
-86.9,33.2
-86.1,33.1
-86.6,34.18
-86.7,33
-86.59,34.31
-86,33
-86.79,33.79
-86.56,33.51
-86.1,33.6
-86.62,33.9
-87.04,34.12
-87.1,33.3
-86.479,33.687
-86.9,33.23
-86.9,33.1
-86.77,33.72
-86.88,33.66
-87.04,33.54
-86.9,33.7
-86.4,33.7
-86.5,34
-86.77,33.31
-86.3,33.6
-86.65,33.73
-86.97,33.49
-86.3,33.5
-87.1,33.6
-86.2,33.7
-86.61,33.83
-86.2,33.62
-86.3,32.9
-86.97,33.67
-86.55,33.08
-86.4,33.8
-86.5,33.4
-87.05,33.76
-86.205,33.256
-86.2,33.2
-86.4,33.1
-86.1,33.4
-86.73,32.89
-86.71,33.84
-86.6,33.7
-86.5,34.5
-86.5,33.48
-86.39,33.42
-86.9,34.3
-86.8,33.8
-86.3,33
-87.2,33.1
-86.5,33.26
-86.9,33.1
-87.17,33.19
-86.81,33.52
-86.84,33.52
-86.8,33.49
-86.71,33.57
-86.82,33.57
-86.88,33.5
-86.81,33.46
-86.67,33.54
-86.88,33.45
-86.75,33.54
-86.74,33.51
-86.89,33.58
-86.7,33.64
-86.79,33.42
-86.76,33.62
-86.9,33.51
-86.9,33.45
-86.77,33.52
-86.74,33.49
-86.95,33.52
-86.85,33.4
-86.92,33.45
-86.799,33.464
-86.8,33.51
-86.8,33.54
-86.66,33.63
-86.7,33.4
-86.74,33.44
-86.82,33.36
-86.853,33.514
-87.61,33.17
-87.48,33.22
-87.6,33.1
-87.5,33.3
-87.7,32.9
-88.2,33
-88,32.7
-87.3,33.3
-87.8,33.2
-88.1,33.3
-87.7,33.3
-87.4,33.2
-87.4,33.1
-87.78,33.3
-87.8,33.4
-88.3,32.8
-88.18,32.72
-88.2,33.4
-88,33
-87.67,33.08
-88.14,32.78
-88,33.3
-87.77,32.96
-88.1,32.5
-87.58,33.27
-87.6,32.9
-87.6,33.4
-87.61,33.22
-88.28,32.97
-87.8,33.1
-88,33.4
-87.2,33.2
-87.3,33.8
-87.3,33.9
-87.2,33.9
-87.18,34.22
-87.2,34.1
-87.7,33.7
-87.74,34.23
-88,34
-87.8,33.6
-87.6,33.6
-87.75,34.06
-87.5,33.8
-87.2,33.7
-88.1,34.1
-87.4,34.2
-87.7,33.9
-87.8,33.6
-87.8,33.9
-87.9,34
-87.8,34.2
-87.6,34.2
-88,34.2
-87.9,34.4
-87.3,34.2
-87.9,33.6
-87.57,34.06
-88.1,33.6
-87.6,34.2
-87.5,34
-87.3,33.6
-87.3,33.7
-87.7,34.4
-88.1,34.5
-87.085,33.824
-87.8,34.4
-88.1,33.8
-87.5,33.8
-88.1,33.7
-88.1,34.4
-87.8,34
-87.01,34.61
-87,34.5
-87.24,34.94
-87.1,34.8
-86.9,34.8
-87.1,34.9
-86.97,34.66
-88,34.7
-87.3,34.7
-87.1,34.4
-87,34.9
-86.73,34.35
-86.9,34.3
-87.67,34.83
-87.8,34.9
-87.6,34.9
-86.9,34.4
-87.2,34.6
-87.5,34.9
-87.5,34.7
-87.12,34.96
-87.4,35
-86.97,34.66
-87.3,34.5
-87.4,34.4
-87.3,34.8
-87.9,34.5
-87.6,34.5
-87.7,34.76
-87.5,34.8
-86.8,34.5
-87,34.7
-87.4,34.6
-87.14,34.59
-87.7,34.7
-88,34.9
-86.82,34.96
-85.78,34.94
-86.46,34.72
-85.92,34.62
-86.2,34.9
-85.99,34.83
-86.3,34.5
-86.4,34.7
-86.74,34.82
-86.6,34.9
-86.27,34.83
-85.9,34.8
-86.62,34.52
-86.14,34.48
-86.8,34.7
-86.76,34.79
-86.74,34.71
-86.56,34.87
-86.4,34.6
-86.4,34.9
-86.5,34.6
-86.3,34.7
-85.8,34.7
-86.26,34.89
-86.1,34.8
-86.1,34.6
-86,34.54
-85.9,34.9
-86.7,34.9
-86.25,34.75
-86.7,34.54
-86.2,34.6
-86.56,34.72
-86.59,34.66
-86.6,34.6
-86.63,34.69
-86.68,34.75
-86.65,34.68
-86.6,34.8
-86.51,34.8
-86.63,34.74
-86.72,34.65
-86.654,34.754
-85.9,34
-85.9,34
-86,34.1
-85.9,33.9
-86.09,33.93
-86.02,33.9
-86.26,34.25
-86.2,34.3
-86.3,34
-86.3,33.8
-86,34.1
-86.2,34.1
-86.2,34.2
-85.65,34.92
-85.6,34.3
-85.6,34.1
-85.9,34.3
-86,34.3
-85.93,34.34
-85.7,34.8
-85.7,34.4
-85.8,34.5
-86,34.5
-86.24,33.99
-85.6,34.4
-86.01,34.37
-86.06,34.44
-86.3,34.3
-85.7,34.6
-85.61,34.83
-86.4,34.2
-85.64,34.74
-85.8,34.2
-85.6,34.5
-85.83,34.51
-86.25,33.92
-85.8,34.56
-85.6,34.6
-86.3,34
-86.7,32.5
-85.8,31.9
-86.7,32.6
-86.3,31.6
-85.8,31.7
-85.97,32.3
-85.4,31.8
-85.6,31.7
-86.31,32.49
-86.4,32.6
-86,32.7
-86.33,32.55
-86.1,32.8
-85.2,31.9
-86.4,31.5
-85.9,32.2
-86.9,31.9
-85.712,32.245
-86.6,32
-86.7,31.7
-86.12,31.58
-86.1,31.8
-86.1,31.9
-86.7,31.7
-86.4,31.4
-85.8,32.3
-86.7,32.2
-86.3,31.9
-86.4,31.9
-86.4,32.2
-86.3,32
-86.5,32.1
-85.6,31.8
-86.3,31.7
-86.5,32.7
-86.1,32.2
-85.4,32.1
-86.36,32.48
-86.1,32.3
-86.41,32.48
-86.6,32.5
-86.2,32.1
-86.4,31.7
-85.9,32.4
-86,32.6
-86,31.8
-86.29,32.7
-86,31.8
-85.957,31.801
-85.7,32.4
-85.71,32.42
-85.7,32.2
-86.5,32.8
-86.2,32.6
-86.1,32.5
-86.33,32.4
-86.3,32.2
-86.26,32.35
-86.28,32.38
-86.4,32.3
-86.25,32.37
-86.25,32.45
-86.27,32.34
-86.36,32.38
-86.34,32.38
-86.248,32.408
-86.23,32.27
-86.14,32.37
-85.9,33.65
-85.9,33.6
-85.77,33.73
-85.83,33.73
-85.7,33.7
-85.89,33.76
-85.9,33.2
-85.7,33.2
-85.7,33
-85.7,33.5
-86,33.59
-85.5,33.8
-85.37,33.47
-85.6,33.6
-85.8,33.9
-85.8,33.3
-85.9266,33.1912
-85.9,33.5
-85.4,33.7
-86,33.8
-85.6,33.9
-85.4,33.55
-85.4,33.2
-85.6,33.1
-85.82,33.76
-85.5,33.3
-85.9,33.9
-85.4,33.4
-85.41,31.15
-85.4,31.3
-85.5,31.19
-85.2,31.6
-85.7,31.6
-85.2,31.2
-85.796,31.176
-85.76,31.02
-85.88,31.18
-85.4,31.6
-85.96,31.17
-85.2,31.3
-85.3,31.1
-85.3,31.21
-85.7,31.3
-86.1,31.4
-85.9,31.3
-85.92,31.07
-85.2,31.1
-85.7,31.1
-85.3,31.4
-85.94,31.55
-85.5,31.4
-85.9,31.4
-85.6,31.3
-85.3,31.5
-85.6,31.5
-85.71,31.4
-85.15,31.12
-85.5,31.4
-85.1,31.5
-85.49,31.58
-85.5,31.1
-85.26,31.25
-86.9,31.5
-86.6,31.2
-86.5,31.4
-87.2,31.7
-87.1,31.1
-87,31.4
-87.4,31.9
-87.6,31.7
-87.3,31.5
-87.2,31
-86.4,31.1
-87.4,31.7
-87.4,31.4
-87.73,31.78
-87.8,31.7
-86.1,31.2
-87.21,31.32
-86.4,31.1
-86.8,31.6
-87.3,31.5
-86.3,31.3
-87.5,31.4
-87.2,31.6
-87.38,31.25
-86.6,31.4
-87.2,31.4
-86.6,31.2
-86.1,31.1
-87.6,31.4
-87.36,31.78
-87.6,31.6
-86.7,31
-87.5,31.2
-88.02,30.96
-87.7,30.9
-88.26,30.4
-87.75,30.31
-88,31.1
-88.1,31.2
-88.3,31.5
-88.2,31
-88.3,31
-88.17,30.38
-88,31.8
-88,30.9
-87.86,30.6
-87.9,30.7
-88.2,30.2
-88.3,31.2
-87.5,30.4
-87.9,30.5
-87.7,30.4
-88.15,31.64
-88.3,31.4
-87.66,31.48
-88.3,30.5
-87.8,30.3
-87.5,31.2
-88.24,30.48
-87.9,31.5
-87.97,31.49
-87.45,30.41
-87.75,31.26
-87.8,30.6
-88.1,31.3
-87.77,30.4
-88.011,31.195
-88.3,31.6
-87.897,30.572
-88,31.1
-87.56,30.28
-87.66,31.04
-87.91,30.473
-87.6,30.6
-88.255,30.503
-88.05,31.53
-88.1,30.8
-88.06,30.85
-87.48,30.52
-88.28,30.79
-87.76,30.53
-87.76,30.73
-87.8,31.1
-87.7,30.5
-88.001,31.378
-88.2,30.5
-88.22,31.4
-88.38,31.25
-88.1,31.4
-88.3,30.8
-88.179,30.554
-88.03,30.71
-88.05,30.68
-88.07,30.68
-88.09,30.6
-88.1,30.67
-88.1,30.7
-88.3,30.7
-88.16,30.66
-88.08,30.73
-88.07,30.77
-88.11,30.75
-88.18,30.81
-88.07,30.64
-88.053,30.686
-88.09,30.72
-88.17,30.74
-88.19,30.59
-88.1741,30.6933
-88.15,30.63
-88.29,30.63
-87,32.5
-86.9,32.5
-87.4,32.2
-87.57,32.07
-87.3,32.1
-87.3,32
-88.05,31.93
-87.5,32.2
-87.9,32.4
-87.77,32.09
-87.6,32.4
-87.9,32.6
-87.7,32.5
-87.6,32.7
-87.7,32.3
-86.85,32.54
-86.8,32.8
-87.58,31.89
-86.6,32.3
-87,31.9
-87.71,32.12
-87.3,32.7
-86.9,32.6
-87.3,32.4
-87,32.1
-87.8,32.3
-87.57,32.58
-87,31.9
-87.2,32.2
-87,31.9
-87.5,32
-87.4,32.3
-87,32.2
-87.8,32.7
-87.9,32.1
-87.6,32.2
