"D2.lng","D2.lat","D.1","D.2"
-95.9,35.5,-77.032,38.904
-84.7,36.1,-122.33,47.6
-90.5,29.9,-97.21,31.62
-124.5,48.3,-80.19,25.77
-82.8,32.1,-105.8,41.3
-82.81,40.09,-118.28,34.06
-118.7,46.5,-81.025,33.996
-97.8,26.2,-68.668,44.902
-80.81,32.54,-97.08,47.92
-76.703,43.01,-87.61,41.91
-81.2692,38.0522,-73.966,40.791
-121.04,35.96,-122.409,37.791
-86.5,31.4,-86.803,36.146
-110.58,39.57,-83.288,30.866
-90.645,44.192,-92.319,38.952
-110.6,48.6,-90.212,32.298
-78.6,43.2,-106.1,36
-114.1,42.9,-76.6,42.9
-111.47,31.46,-98.24,26.22
-79.9,34.1,-116.29,43.63
-107.7,38.6,-78.3948,37.3011
-105.894,39.316,-106.487,31.759
-95.63,40.47,-71.055,42.365
-68.6,47,-84.5,38.05
-112.5,47.4,-79.96,40.44
-86.73,36.18,-93.26,44.96
-97.041,28.065,-93.059,34.127
-123.58,39.29,-95.93,41.26
-82.9503,36.9643,-95.48,29.71
-100.3,28.6,-112.21,33.49
-114.2,34.6,-116.9,46.7
-112.7,39.4,-111.86,40.76
-92.3,30.9,-119.82,39.53
-114.904,48.764,-82.46,27.93
-94.1,31.5,-79.961,32.797
-94.7,43.2,-103.872,44.495
-102,36.6,-76.898,34.893
-83.6,30.4,-122.68,45.53
-83.9,41.8,-75.609,39.937
-108,41.6,-89.616,40.698
-68.6,44.7,-90.471,30.513
-112.4,34.9,-84.39,33.75
-91.9,42.85,-101.9,33.7
-101.1,47.1,-75.707,38.121
-109.8,45.3,-111.27,47.52
-82.58,43.04,-115.13,36.17
-99.9,35.7,-97.077,36.125
-104.201,29.461,-83.63,41.38
-98.4,34,-86.516,39.176
-108.7,48.2,-104.98,39.73
-93.9,35.9,-96.739,43.525
-98.23,29.97,-92.1,46.788
-106.6,36.6,-88.01,44.513
-91.9,41,-117.12,32.57
-104.4,37.2,-120.62,35.12
-122.42,37.69,-73.196,44.478
-95.37,29.75,-89.9341,35.1245
-96.9,48.5,-89.38,43.08
-87.98,41.88,-80.2,36.12
-102.9,38.2,-76.31,36.87
-121.6,39.6,-103.1,37.9
-115.5,32.7,-80.051,42.107
-98.4,37.3,-97.363,32.709
-89.9,42.32,-73.04,41.57
-70.06,41.7,-93.64,42.03
-109.2,33.8,-85.409,40.207
-100.7,39,-84.496,42.732
-105.2,48.7,-85.1,35.1
-111.93,43.43,-93.3,37.21
-112.5,45.5,-85.49,32.6
-85.98,38.31,-124.14,40.8
-122.4,48.4,-96.58,39.2
-85.41,34.38,-81.8,32.4
-106.5,47.1,-70.26,43.66
-97.1,31.6,-106.9,40.5
-102.3,40.1,-84.47,46.26
-79.08,39.87,-111.7,35.5
-123.11,45.25,-92.6,32.5
-70.3,45.6,-101.3,48.246
-81.77,34.22,-118.06,48.66
-107.8,45.1,-81.3,38.1
-116.69,35.26,-97.74,30.29
-96.5,33.6,-96.607,46.273
-75.535,37.87,-119.75,36.74
-101.8,34.8,-108.58,45.77
-101,43.1,-106.9,38.55
-73.3,43.7,-76.605,39.3931
-91.5,45.8,-80.551,37.139
-114.77,39.4,-82.51,40.76
-104.4,41.7,-88.794,33.454
-106.3,43.4,-73.94,42.8
-100.8,45,-120.53,46.6
-90,40.5,-81,34.9
-85.408,29.941,-123.08,44.07
-109.8,37.7,-79.056,43.095
-93.29,47.33,-110.93,32.15
-90.826,34.389,-94.647,31.62
-102.7,45.4,-82.32,29.64
-109.6,43.5,-106.378,42.844
-83.7,46,-76.26,40.69
-99.5,48.9,-121.44,38.52
-81,40,-102.35,31.85
-113,32.8,-83.93,35.95
-116.5,45.9,-75.88,42.16
-89.1,33.1,-90.22,38.59
-75.3,44.7,-97.4,27.77
-119.71,34.42,-97.28,37.67
-98.9,44.9,-89.337,31.328
-80.13,26.94,-87.3,37.8
-72,45,-99.097,40.702
-87.51,45.7,-98.7,46.914
-115.13,36.17,-90.56,41.54
-91.8,37.9,-78.87,38.43
-79.17,37.99,-88.24,40.11
-88.07,40,-94.41,35.36
-106.33,31.79,-83,39.99
-105.667,35.01,-83.37,33.9
-88.2,30.2,-98.53,29.38
-77.7,35.1,-87.291,30.406
-116.6,47.9,-80.07,26.81
