"x1","x2","density.1","density.2","density.3","density.4","density.5","density.6","density.7","density.8","density.9","density.10","density.11","density.12","density.13","density.14","density.15","density.16","density.17","density.18","density.19","density.20","density.21","density.22","density.23","density.24","density.25","density.26","density.27","density.28","density.29","density.30","density.31","density.32","density.33","density.34","density.35","density.36","density.37","density.38","density.39","density.40","density.41","density.42","density.43","density.44","density.45","density.46","density.47","density.48","density.49","density.50","density.51","density.52","density.53","density.54","density.55","density.56","density.57","density.58","density.59","density.60","density.61","density.62","density.63","density.64","density.65","density.66","density.67","density.68","density.69","density.70","density.71","density.72","density.73","density.74","density.75","density.76","density.77","density.78","density.79","density.80","density.81","density.82","density.83","density.84","density.85","density.86","density.87","density.88","density.89","density.90","density.91","density.92","density.93","density.94","density.95","density.96","density.97","density.98","density.99","density.100","density.101"
0,0,5.8386766307719e-23,1.61027850995468e-21,3.65382030123803e-20,6.82107751925995e-19,1.04765526323303e-17,1.32386416434592e-16,1.37634740056547e-15,1.17725981744169e-14,8.28468857870147e-14,4.79666809296973e-13,2.28487666359869e-12,8.95458511881971e-12,2.88727259915054e-11,7.65931133223822e-11,1.67167277568592e-10,3.00173555836683e-10,4.43458724277445e-10,5.39005988098759e-10,5.39005988098759e-10,4.43458724277445e-10,3.00173555836683e-10,1.67167277568591e-10,7.65931133223819e-11,2.88727259915053e-11,8.95458511881971e-12,2.28487666359868e-12,4.7966680929697e-13,8.28468857870136e-14,1.17725981744167e-14,1.37634740056547e-15,1.32386416434592e-16,1.04765526323303e-17,6.82107751925995e-19,3.653820301238e-20,1.61027850995464e-21,5.83867663077182e-23,1.74175658897668e-24,4.27484246194121e-26,8.63201885527628e-28,1.43404988615203e-29,1.96008882058911e-31,2.20417898417019e-33,2.0392833630215e-35,1.55227230248496e-37,9.72115775076954e-40,5.49045282474702e-42,5.49856441872626e-40,4.55713050215451e-37,2.74268637921149e-34,1.19863401967191e-31,3.80384503126969e-29,8.765663545517e-27,1.46680554936333e-24,1.78232154721935e-22,1.57262558321662e-20,1.00760515596303e-18,4.68793079291577e-17,1.58379062516742e-15,3.88543913378173e-14,6.92162741519432e-13,8.95369077692092e-12,8.41049837129394e-11,5.73676600966339e-10,2.84143880570306e-09,1.02196316863658e-08,2.66905760349646e-08,5.06181671079455e-08,6.97076833041489e-08,6.97076833041489e-08,5.06181671079455e-08,2.66905760349646e-08,1.02196316863659e-08,2.8414388057031e-09,5.73676600966347e-10,8.41049837129411e-11,8.95369077692118e-12,6.92162741519457e-13,3.88543913378187e-14,1.58379062516742e-15,4.68793079291577e-17,1.00760515596303e-18,1.57262558321662e-20,1.78232154721935e-22,1.46680554936333e-24,8.7656635455175e-27,3.80384503126991e-29,1.19863401967198e-31,2.7426863792201e-34,4.55713052537984e-37,5.49841458275129e-40,4.96715036403284e-43,3.33900476903311e-44,6.71797841838196e-44,1.25508095758658e-43,2.15732007384366e-43,3.41166375896152e-43,4.96394147885307e-43,6.64501363996194e-43,8.18415590269571e-43,9.27386360079738e-43,9.66843779616547e-43
0.01,0.01,1.47513327573481e-22,4.31360078916449e-21,1.03778706513052e-19,2.05416899629331e-18,3.345212416462e-17,4.48198958872918e-16,4.94057617727606e-15,4.48068042404339e-14,3.34325846531104e-13,2.05236948738019e-12,1.03657506854586e-11,4.30730457223569e-11,1.47254989260713e-10,4.14184715218752e-10,9.58468249354904e-10,1.82482409599393e-09,2.85840587890623e-09,3.68371819446583e-09,3.9057866364135e-09,3.40714208118558e-09,2.44529684232546e-09,1.44388479462018e-09,7.01444173411566e-10,2.80358220357465e-10,9.21919689362593e-11,2.49420703187457e-11,5.55177071374385e-12,1.01669375797546e-12,1.53182236514266e-13,1.89883080296356e-14,1.93652783476995e-15,1.62487827637064e-16,1.121702104025e-17,6.37079821668401e-19,2.97693792212732e-20,1.14447239103373e-21,3.61993252569725e-23,9.4200941623079e-25,2.01683154625609e-26,3.55257798981837e-28,5.14845865081659e-30,6.13861576977607e-32,6.02175782476109e-34,4.85999400820815e-36,3.22706574012315e-38,1.78328002503123e-40,2.32147954416281e-39,1.92342616741266e-36,1.15760449280715e-33,5.05906959293899e-31,1.60548728119831e-28,3.69971994597627e-26,6.19094004654513e-24,7.52263709889153e-22,6.63757422078414e-20,4.25279486695729e-18,1.97863298880289e-16,6.68469846664247e-15,1.63992566991472e-13,2.92140838781193e-12,3.77908052088307e-11,3.54981552945765e-10,2.42131443000742e-09,1.19928488814826e-08,4.31339567098892e-08,1.12652802624003e-07,2.13643886176538e-07,2.94214927334341e-07,2.94214927334341e-07,2.13643886176538e-07,1.12652802624003e-07,4.31339567098898e-08,1.19928488814827e-08,2.42131443000746e-09,3.54981552945773e-10,3.77908052088317e-11,2.92140838781203e-12,1.63992566991478e-13,6.68469846664247e-15,1.97863298880289e-16,4.25279486695729e-18,6.63757422078414e-20,7.52263709889153e-22,6.19094004654513e-24,3.69971994597648e-26,1.6054872811984e-28,5.0590695929395e-31,1.15760449286219e-33,1.92342631777854e-36,2.32108025852148e-39,2.96060203168584e-42,2.01427106072464e-42,4.01999958937638e-42,7.38621175053094e-42,1.24860870093476e-41,1.9419576434443e-41,2.77882976760212e-41,3.65841462928347e-41,4.43131579365972e-41,4.93834320910318e-41,5.06335796263265e-41
0.02,0.02,3.38047636117439e-22,1.04811445246008e-20,2.67361659960341e-19,5.61111489655652e-18,9.68855050852056e-17,1.37634740056547e-15,1.60863287347765e-14,1.54684011176632e-13,1.22375230992958e-12,7.96528348567912e-12,4.26548641132515e-11,1.87929735176485e-10,6.81211630340889e-10,2.03155329376456e-09,4.98464229919902e-09,1.00623493359025e-08,1.67118448919599e-08,2.283542058548e-08,2.56716183076683e-08,2.37441754256868e-08,1.80684355464807e-08,1.1312110081912e-08,5.82674896791886e-09,2.46927014969665e-09,8.60935306022365e-10,2.46963085888333e-10,5.82845142675543e-11,1.1317068200548e-11,1.80789955557644e-12,2.37615231525756e-13,2.56941270743612e-14,2.28587812923902e-15,1.67313849132734e-16,1.00755861745517e-17,4.99192861682565e-19,2.03482012524489e-20,6.82406721007104e-22,1.88286932451042e-23,4.27421808727321e-25,7.98275478631788e-27,1.22661568327879e-28,1.55068594589524e-30,1.61286791213509e-32,1.38017248771896e-34,9.71689580453741e-37,5.63648897485133e-39,9.31302756005787e-39,7.69656970529763e-36,4.63214222247769e-33,2.02438138531037e-30,6.42434049720651e-28,1.48043905147089e-25,2.477298158794e-23,3.01017533593451e-21,2.65601835462503e-19,1.70175140034205e-17,7.91747912794898e-16,2.67487507212218e-14,6.56214534803303e-13,1.16899849874181e-11,1.51219510218683e-10,1.42045495660893e-09,9.68886426652783e-09,4.79892588676754e-08,1.7260007484411e-07,4.50779006782928e-07,8.54893767155904e-07,1.17729794230815e-06,1.17729794230815e-06,8.54893767155904e-07,4.50779006782928e-07,1.72600074844112e-07,4.79892588676761e-08,9.68886426652796e-09,1.42045495660897e-09,1.51219510218688e-10,1.16899849874185e-11,6.56214534803322e-13,2.67487507212218e-14,7.91747912794898e-16,1.70175140034205e-17,2.65601835462503e-19,3.01017533593451e-21,2.477298158794e-23,1.48043905147098e-25,6.42434049720688e-28,2.02438138531157e-30,4.63214222576889e-33,7.69657862167313e-36,9.30895647283197e-39,6.09237728981545e-41,1.12692279855895e-40,2.21321190249361e-40,3.99926848581149e-40,6.64885592942944e-40,1.01700263313774e-39,1.43121877695196e-39,1.85309961788692e-39,2.2074979088136e-39,2.41941644546475e-39,2.43966249053362e-39
0.03,0.03,7.02674759248896e-22,2.30997497868636e-20,6.24769487272432e-19,1.39024697853104e-17,2.54521059201332e-16,3.83367327379336e-15,4.75079275840368e-14,4.84369387591767e-13,4.06300075343514e-12,2.8039917488229e-11,1.59208471569464e-10,7.4372987673621e-10,2.85840587890623e-09,9.03841291627543e-09,2.35136512702697e-08,5.03277576761087e-08,8.86246845884666e-08,1.28398939672273e-07,1.53048044634029e-07,1.50090687417534e-07,1.21098655469617e-07,8.03867571288672e-08,4.39025059462635e-08,1.97266675189847e-08,7.29252207830393e-09,2.21799924349275e-09,5.55014907183279e-10,1.14263498123566e-10,1.93539670158002e-11,2.69706920786366e-12,3.09224430428857e-13,2.91685687125875e-14,2.26368531286691e-15,1.44536189329558e-16,7.592709100566e-18,3.28153117898304e-19,1.16685239569777e-20,3.41361802212319e-22,8.21624794169749e-24,1.62701577436946e-25,2.65075508942902e-27,3.55309694782609e-29,3.91835810647904e-31,3.55517353805773e-33,2.65385443866885e-35,1.6301787950046e-37,3.60523263149774e-38,2.91982324148262e-35,1.75728092330306e-32,7.67983066804615e-30,2.43718142887652e-27,5.61629409960031e-25,9.39804649057449e-23,1.14196055293019e-20,1.00760515596303e-18,6.45587965220975e-17,3.00362863745243e-15,1.01475876833982e-13,2.48946001270774e-12,4.43479207360966e-11,5.73676600966331e-10,5.38873436473092e-09,3.67563333038694e-08,1.8205531065594e-07,6.54787362556012e-07,1.71010584562957e-06,3.2431830378241e-06,4.46627740621101e-06,4.46627740621101e-06,3.2431830378241e-06,1.71010584562957e-06,6.54787362556021e-07,1.82055310655944e-07,3.67563333038702e-08,5.38873436473103e-09,5.73676600966347e-10,4.43479207360981e-11,2.48946001270782e-12,1.01475876833982e-13,3.00362863745243e-15,6.45587965220975e-17,1.00760515596303e-18,1.14196055293019e-20,9.39804649057449e-23,5.61629409960067e-25,2.43718142887667e-27,7.67983066810847e-30,1.75728094142224e-32,2.9198717462978e-35,3.64402795968163e-38,2.79536464624179e-39,5.80389797302537e-39,1.12105994137258e-38,1.99226984270188e-38,3.25743892193127e-38,4.90019310337297e-38,6.78201742629163e-38,8.63601526160278e-38,1.01175810963754e-37,1.0905580309073e-37,1.08150780894847e-37
0.04,0.04,1.32483139245763e-21,4.61780562616485e-20,1.32425097082368e-18,3.12438514839474e-17,6.06482735897463e-16,9.68572053581953e-15,1.2726384451584e-13,1.37574440926283e-12,1.22357357119265e-11,8.95327723059682e-11,5.39005988098761e-10,2.66971413599629e-09,1.0879164544508e-08,3.64742140977987e-08,1.00608796499242e-07,2.28320852910747e-07,4.26299492467344e-07,6.54852766174214e-07,8.27622197764976e-07,8.60558121816215e-07,7.361865833833e-07,5.18149641858444e-07,3.0004204685619e-07,1.42944895006446e-07,5.60292480240373e-08,1.80684355464808e-08,4.79386634110043e-09,1.04643174191194e-09,1.87929735176485e-10,2.7767687428391e-11,3.37554215109498e-12,3.37603524783615e-13,2.77798580568165e-14,1.88067038479786e-15,1.04750224486732e-16,4.80017258561097e-18,1.80974904249452e-19,5.61357425852666e-21,1.43258434786911e-22,3.00788026957908e-24,5.19589661680346e-26,7.3844825906172e-28,8.63454095754293e-30,8.30649963141205e-32,6.57440508316743e-34,4.28120223708555e-36,1.49640932536576e-37,1.05015611401022e-34,6.32030637776921e-32,2.76215840663401e-29,8.765663545517e-27,2.01997864691029e-24,3.38013873507472e-22,4.10722068970177e-20,3.62399273162503e-18,2.3219473220632e-16,1.08029700783189e-14,3.64972169808076e-13,8.95369077692086e-12,1.59503493465842e-10,2.06330805266507e-09,1.93813360867314e-08,1.32199288526962e-07,6.5478736255601e-07,2.35503423996968e-06,6.15063461931953e-06,1.16645609511306e-05,1.6063590744591e-05,1.6063590744591e-05,1.16645609511306e-05,6.15063461931953e-06,2.35503423996972e-06,6.54787362556019e-07,1.32199288526965e-07,1.93813360867319e-08,2.06330805266512e-09,1.59503493465847e-10,8.95369077692111e-12,3.64972169808076e-13,1.08029700783189e-14,2.3219473220632e-16,3.62399273162503e-18,4.10722068970177e-20,3.38013873507472e-22,2.0199786469104e-24,8.7656635455185e-27,2.7621584069527e-29,6.3203072955792e-32,1.05039843944906e-34,1.86059633250353e-37,1.33312068502674e-37,2.75024439046644e-37,5.22448478332474e-37,9.13113059764064e-37,1.46829876401027e-36,2.17226650293497e-36,2.95679061140124e-36,3.70285604968059e-36,4.26640304435897e-36,4.52267859214995e-36,4.41101325984217e-36
0.05,0.05,2.26567010260485e-21,8.37324556329435e-20,2.54595425134838e-18,6.36893734131151e-17,1.31081973206581e-15,2.21961973544185e-14,3.09224430428857e-13,3.5442849626904e-12,3.34228191776855e-11,2.59308731004797e-10,1.65520128041909e-09,8.69248801729712e-09,3.75575281148147e-08,1.33508683872859e-07,3.90464577746382e-07,9.39535905372663e-07,1.85996484301724e-06,3.02939358943537e-06,4.05944145228558e-06,4.47544758818194e-06,4.05944145228558e-06,3.02939358943537e-06,1.85996484301724e-06,9.3953590537266e-07,3.90464577746382e-07,1.33508683872859e-07,3.75575281148147e-08,8.69248801729712e-09,1.65520128041908e-09,2.59308731004797e-10,3.34228191776855e-11,3.5442849626904e-12,3.09224430428857e-13,2.21961973544185e-14,1.31081973206581e-15,6.36893734131142e-17,2.54595425134841e-18,8.37324556329435e-20,2.26567010260485e-21,5.04381481457531e-23,9.23806907654091e-25,1.39207582329909e-26,1.7258545424352e-28,1.76037463477885e-30,1.47728955678037e-32,1.01996995321115e-34,1.01142780294443e-36,3.58089259932123e-34,2.15512614583749e-31,9.41853043986415e-29,2.98895489595283e-26,6.8878129248874e-24,1.15257472166706e-21,1.40049835651304e-19,1.23572514069718e-17,7.91747912794893e-16,3.68364472794955e-14,1.24449831797648e-12,3.05306925660089e-11,5.43882097733639e-10,7.03555945747677e-09,6.60873407765804e-08,4.50779006782923e-07,2.23272303683246e-06,8.03030037046529e-06,2.09727071580726e-05,3.97743381125468e-05,5.47743453228741e-05,5.47743453228741e-05,3.97743381125468e-05,2.09727071580726e-05,8.0303003704654e-06,2.23272303683249e-06,4.50779006782931e-07,6.60873407765821e-08,7.03555945747692e-09,5.43882097733659e-10,3.053069256601e-11,1.24449831797648e-12,3.68364472794955e-14,7.91747912794893e-16,1.23572514069718e-17,1.40049835651304e-19,1.15257472166706e-21,6.88781292488784e-24,2.98895489595789e-26,9.41853045495843e-29,2.15513042317988e-31,3.5920183101479e-34,3.10745989163319e-36,5.90521108769468e-36,1.19903774301389e-35,2.24009737121477e-35,3.85043450693672e-35,6.08921597812178e-35,8.85975696992316e-35,1.18601732439219e-34,1.4607269769546e-34,1.65522051428909e-34,1.72564502457908e-34,1.65522051428909e-34
0.06,0.06,3.51449187740053e-21,1.37715180011021e-19,4.43977230341861e-18,1.17760378907839e-16,2.56978804537477e-15,4.61376030058632e-14,6.81510206650264e-13,8.28226866640462e-12,8.28105897533532e-11,6.81211630340892e-10,4.61039190315192e-09,2.56716183076683e-08,1.17605670773952e-07,4.43264440658563e-07,1.37453921907102e-06,3.50679995326826e-06,7.36079057490199e-06,1.27115217355137e-05,1.80605195875576e-05,2.11116681098241e-05,2.03036665584673e-05,1.60651952608295e-05,1.04582051719675e-05,5.60128821866269e-06,2.46818833821249e-06,8.94804758770079e-07,2.66893432707464e-07,6.54948426589785e-08,1.32231806794556e-08,2.1964654402271e-09,3.00173555836685e-10,3.37504912637449e-11,3.12210410858508e-12,2.37615231525756e-13,1.487855603243e-14,7.66490730003935e-16,3.24872269302837e-17,1.13286455968271e-18,3.25014661415453e-20,7.67162785844252e-22,1.48981285039235e-23,2.38032094263707e-25,3.12895222888178e-27,3.38393459909896e-29,3.01095734054059e-31,2.204180207851e-33,1.46721279800564e-35,1.15767027528178e-33,6.96698520082584e-31,3.04477593075984e-28,9.66254553555947e-26,2.22665809100218e-23,3.72598654677674e-21,4.52746180968033e-19,3.99479110828658e-17,2.5595234877661e-15,1.19083044608104e-13,4.0231526018199e-12,9.86981126917224e-11,1.7582351418025e-09,2.27442085921251e-08,2.13643886176536e-07,1.45725607482803e-06,7.21783658927002e-06,2.59599578096361e-05,6.77995302616396e-05,0.000128580512767057,0.000177071794084068,0.000177071794084068,0.000128580512767057,6.77995302616396e-05,2.59599578096364e-05,7.21783658927013e-06,1.45725607482806e-06,2.1364388617654e-07,2.27442085921257e-08,1.75823514180256e-09,9.86981126917259e-11,4.0231526018199e-12,1.19083044608104e-13,2.5595234877661e-15,3.99479110828658e-17,4.52746180968033e-19,3.72598654677674e-21,2.22665809100239e-23,9.66254553577718e-26,3.04477599656461e-28,6.96716860180525e-31,1.20463380607607e-33,1.12349443190962e-34,2.40834387439818e-34,4.80953742233751e-34,8.83688325233674e-34,1.49383874859994e-33,2.3233632552337e-33,3.32459927557717e-33,4.37693692793998e-33,5.30163792299061e-33,5.90824686238441e-33,6.05781484379379e-33,5.71455149092051e-33
0.07,0.07,4.94490805363734e-21,2.05446906780555e-19,7.02264324279842e-18,1.97497325669348e-16,4.56963429618187e-15,8.69883883409347e-14,1.36238777285286e-12,1.75549583415016e-11,1.86105189042428e-10,1.62321771955032e-09,1.16480890115994e-08,6.87689193555744e-08,3.34032967833291e-07,1.33489183870014e-06,4.38896822639983e-06,1.18723969600534e-05,2.64225053539083e-05,4.8380370888637e-05,7.28826248873702e-05,9.03313354530525e-05,9.21112062190152e-05,7.72762647097946e-05,5.33383266525471e-05,3.02895112245947e-05,1.41515743392664e-05,5.43972396389931e-06,1.7203173944441e-06,4.47610135830904e-07,9.58188286012803e-08,1.68756852026334e-08,2.44529684232547e-09,2.91515312419244e-10,2.8592410476039e-11,2.30727723665536e-12,1.53182236514267e-13,8.36713245445563e-15,3.760144157288e-16,1.39024697853106e-17,4.22901317091907e-19,1.05839000244407e-20,2.17927498234545e-22,3.69179817657317e-24,5.14545141675975e-26,5.90022571772623e-28,5.5663868290685e-30,4.32053763340554e-32,2.80187040892966e-34,3.54933858603774e-33,2.13527939314718e-30,9.3317943094749e-28,2.96142932991696e-25,6.82438240950439e-23,1.14196055293018e-20,1.38760103576474e-18,1.22434523195097e-16,7.84456631990714e-15,3.64972169808076e-13,1.23303761621769e-11,3.02495325540313e-10,5.38873436473084e-09,6.97076833041476e-08,6.54787362556007e-07,4.46627740621098e-06,2.21216168093063e-05,7.95634858101723e-05,0.000207795675303678,0.000394080525015685,0.000542699232383191,0.000542699232383191,0.000394080525015685,0.000207795675303678,7.95634858101734e-05,2.21216168093067e-05,4.46627740621105e-06,6.54787362556021e-07,6.97076833041496e-08,5.38873436473103e-09,3.02495325540322e-10,1.23303761621769e-11,3.64972169808076e-13,7.84456631990714e-15,1.22434523195097e-16,1.38760103576474e-18,1.14196055293018e-20,6.82438240950759e-23,2.96142933080307e-25,9.33179694900535e-28,2.13600288968933e-30,5.37246776331752e-33,4.23772453114982e-33,9.0372015481126e-33,1.77493544874494e-32,3.20730404180569e-32,5.33220076910088e-32,8.15608321213849e-32,1.14779834970343e-31,1.48613525583869e-31,1.77035300089207e-31,1.94030587641106e-31,1.95654265131388e-31,1.81516970048045e-31
0.08,0.08,6.3107896422229e-21,2.78001542929226e-19,1.00755861745517e-17,3.0043674674482e-16,7.37047356183856e-15,1.48763829012408e-13,2.4703524353408e-12,3.37504912637449e-11,3.79368173771132e-10,3.50833699013187e-09,2.66932420305908e-08,1.67094039943833e-07,8.60558121816215e-07,3.64635601790215e-06,1.27115217355137e-05,3.64582343866716e-05,8.60306757487753e-05,0.000167020834405196,0.000266776504075501,0.000350577563615015,0.000379035836747599,0.000337159996902701,0.000246746739387599,0.000148568389981133,7.35971547302108e-05,2.99954406212628e-05,1.00579409219141e-05,2.7747414895576e-06,6.29789751341541e-07,1.17605670773953e-07,1.8068435546481e-08,2.28387563671029e-09,2.37511129961046e-10,2.03214687276994e-11,1.43049331945369e-12,8.28468857870141e-14,3.94753650832467e-15,1.54751809462978e-16,4.99119950603379e-18,1.32444441644191e-19,2.89149307957208e-21,5.19362024350694e-23,7.67499034703036e-25,9.33136329958983e-27,9.3340897362354e-29,7.68171985518113e-31,5.2136502644613e-33,1.03379962239078e-32,6.20443393062965e-30,2.71151870635256e-27,8.60495930290336e-25,1.982945610351e-22,3.31816936646631e-20,4.03192145117199e-18,3.557552694981e-16,2.27937817896942e-14,1.06049151204256e-12,3.58280996251217e-11,8.78953935958312e-10,1.56579255274568e-08,2.02548064163559e-07,1.90260106831855e-06,1.2977562870629e-05,6.4278289687852e-05,0.000231185850182979,0.000603787269628213,0.00114507101201765,0.00157690908278578,0.00157690908278578,0.00114507101201765,0.000603787269628213,0.000231185850182982,6.4278289687853e-05,1.29775628706293e-05,1.90260106831859e-06,2.02548064163565e-07,1.56579255274573e-08,8.78953935958343e-10,3.58280996251217e-11,1.06049151204256e-12,2.27937817896942e-14,3.557552694981e-16,4.03192145117199e-18,3.31816936646634e-20,1.98294561036156e-22,8.60495933614976e-25,2.71152844740449e-27,6.23069298237183e-30,7.5436669367157e-32,1.48625963812982e-31,3.12003950570869e-31,6.02657564027307e-31,1.07100115429625e-30,1.7511286727641e-30,2.63423777115973e-30,3.6458658040851e-30,4.6425349194437e-30,5.43899265081993e-30,5.86260397509681e-30,5.81395194033328e-30,5.30470344379391e-30
0.09,0.09,7.30531578980387e-21,3.41212248256896e-19,1.31120272722286e-17,4.14547870630728e-16,1.07829886180399e-14,2.30761428203517e-13,4.06300075343511e-12,5.88559265195693e-11,7.01444173411568e-10,6.87789650692736e-09,5.54852790359449e-08,3.68264220049548e-07,2.01094822875872e-06,9.03445309888049e-06,3.33935398627313e-05,0.000101550639555429,0.000254075319537807,0.000523000267839782,0.000885729185769564,0.0012341263151102,0.00141474407416739,0.00133430700948596,0.00103536448741121,0.00066098313004007,0.00034717392481469,0.000150024931214497,5.33383266525469e-05,1.56018087685408e-05,3.75465577659284e-06,7.434040413788e-07,1.21098655469618e-07,1.62298063572004e-08,1.78956290254304e-09,1.62345483801365e-10,1.21169430989874e-11,7.4405585490786e-13,3.75904583971123e-14,1.56246147649222e-15,5.34319012973346e-17,1.50332040171641e-18,3.47986253057744e-20,6.62723296583826e-22,1.03839359473373e-23,1.33860171428924e-25,1.41971237022368e-27,1.23882217419281e-29,8.89701810581631e-32,2.892426429029e-32,1.70917800282852e-29,7.46960574648996e-27,2.37046690132056e-24,5.46255568561487e-22,9.14078774728232e-20,1.11070093562241e-17,9.80023334951847e-16,6.2791587253833e-14,2.92140838781201e-12,9.86981126917252e-11,2.42131443000737e-09,4.31339567098883e-08,5.57972984095664e-07,5.24122508905364e-06,3.57501786606397e-05,0.000177071794084067,0.00063686344888058,0.0016632940234935,0.00315440531221763,0.00434401913542373,0.00434401913542373,0.00315440531221763,0.0016632940234935,0.000636863448880589,0.00017707179408407,3.57501786606404e-05,5.24122508905376e-06,5.57972984095678e-07,4.31339567098898e-08,2.42131443000746e-09,9.86981126917252e-11,2.92140838781201e-12,6.2791587253833e-14,9.80023334951847e-16,1.11070093562241e-17,9.14078774728342e-20,5.4625556859817e-22,2.37046701610052e-24,7.46993649196391e-27,1.79686390572337e-29,2.1672323579835e-30,4.79992843196806e-30,9.91049079426477e-30,1.88264074514222e-29,3.29039880989934e-29,5.29100800170843e-29,7.82775258727367e-29,1.06547816886883e-28,1.33432251448094e-28,1.53739642091387e-28,1.62974519946224e-28,1.58950664711611e-28,1.42630951540767e-28
