"m.mean","",""
0.403332844950081,0.349028931296801,0.354424500024828
0.40070913682816,0.346531885961205,0.353896403647496
0.397744631418757,0.343903815970269,0.353274983338324
0.394426691327284,0.341157490889478,0.352541324473263
0.390743177582493,0.33830750635131,0.351672453645702
0.386682514187449,0.335369692051758,0.350640616594958
0.382233752107464,0.332360332189779,0.3494124925756
0.377386632342366,0.329295193022721,0.347948357511934
0.372131647732718,0.32618835869264,0.346201213982628
0.366460103154949,0.323050883921725,0.344115912448866
0.360364173768926,0.319889280460835,0.34162829502554
0.353836960993028,0.316703863154601,0.338664400284275
0.346872545896491,0.313486990982592,0.335139774787893
0.339466039716241,0.310221248245227,0.330958943939819
0.33161363122571,0.30687762095437,0.32601510087886
0.323312630705919,0.303413733200666,0.32019007709767
0.314561510294148,0.299772217506048,0.313354661713084
0.305359940512605,0.29587930159213,0.305369337353148
0.295708822808298,0.291643701215714,0.296085498942943
0.285610317965436,0.286955914298548,0.285347216802597
0.275067870282843,0.281688015008346,0.272993597022148
0.264086227440592,0.275694047174219,0.258861779762757
0.252671456012034,0.268811113838172,0.242790599808286
0.240830952609098,0.260861253224495,0.22462491338573
0.228573450679826,0.251654180325166,0.204220571218958
0.215909023007094,0.240990957073939,0.181449990429654
0.202849079986003,0.228668632240138,0.156208247933585
0.189406363783991,0.214485864408347,0.128419586307691
0.175594938512051,0.198249507653361,0.098044190842934
0.161430176557058,0.179782100012415,0.0650850649495093
0.146928741243879,0.158930150216524,0.0295948016824829
0.132108566011263,0.135573069418051,-0.00831797657289807
0.11698883029731,0.109632543354932,-0.0484827587398625
0.101589932338379,0.0810820885062079,-0.0906621283331996
0.0859334590893756,0.0499564857444239,-0.13454785750994
0.0700421534735231,0.0163607395803543,-0.179758376638725
0.0539398791657605,-0.019521826603133,-0.225837870728722
0.0376515831059889,-0.0574227557216023,-0.272257230085611
0.0212032559265143,-0.0969833516986239,-0.318417047887476
0.00462189046241646,-0.137751708662483,-0.363652812278478
-0.0120645615055848,-0.17918227606915,-0.407242385778624
-0.0288272341485907,-0.220638316669733,-0.448415801451046
-0.0456363940254165,-0.261397547928889,-0.486367334911246
-0.0624614879827741,-0.300661169702134,-0.520269735835077
-0.0792711924753334,-0.337566373204116,-0.549290424371545
-0.0960334642924777,-0.371202301320427,-0.572609379293191
-0.112715592710668,-0.400629292153687,-0.589438368497899
-0.129284253122754,-0.424901091520726,-0.599041101382438
-0.145705562227614,-0.443089572070881,-0.60075381941737
-0.16194513489459,-0.454311353624053,-0.594005788659408
-0.17796814284655,-0.457755588464306,-0.578339118461726
-0.193739375332469,-0.452712063912047,-0.553427306542937
-0.209223301984447,-0.438598689380915,-0.519091903759305
-0.224384138074431,-0.41498738234492,-0.475316703865581
-0.23918591240203,-0.381627352044712,-0.422258895207782
-0.253592538056015,-0.338464804663393,-0.360256663040678
-0.267567886297951,-0.28565816061372,-0.289832802730086
-0.281075863816386,-0.22358798303092,-0.211693994514405
-0.294080493593743,-0.15286096403647,-0.126725498061645
-0.30654599961519,-0.0743074972937769,-0.0359811473304812
-0.318436895629083,0.0110274245741768,0.0593313399295217
-0.329718078141907,0.101900018976034,0.157869582147367
